Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
2011,2,201102,Melbourne,Perth,Melbourne - Perth,247.9,357.0970498
2011,2,201102,Melbourne,Sydney,Melbourne - Sydney,77.9,112.2140387
2011,2,201102,Melbourne,Newcastle,Melbourne - Newcastle,158.0,227.5971516
2011,3,201103,Melbourne,Gold Coast,Melbourne - Gold Coast,147.9,213.0482197
2011,3,201103,Melbourne,Mildura,Melbourne - Mildura,242.0,348.5981689
2011,3,201103,Melbourne,Perth,Melbourne - Perth,197.9,285.0726348
2011,3,201103,Melbourne,Sydney,Melbourne - Sydney,77.9,112.2140387
2011,3,201103,Melbourne,Newcastle,Melbourne - Newcastle,128.0,184.3825025
2011,4,201104,Melbourne,Gold Coast,Melbourne - Gold Coast,119.9,171.1475806
2011,4,201104,Melbourne,Mildura,Melbourne - Mildura,217.67,310.706371
2011,4,201104,Melbourne,Perth,Melbourne - Perth,299.9,428.0830645
2011,4,201104,Melbourne,Sydney,Melbourne - Sydney,69.9,99.7766129
2011,4,201104,Melbourne,Newcastle,Melbourne - Newcastle,148.0,211.2580645
2011,5,201105,Melbourne,Gold Coast,Melbourne - Gold Coast,119.9,171.1475806
2011,5,201105,Melbourne,Mildura,Melbourne - Mildura,166.0,236.9516129
2011,5,201105,Melbourne,Perth,Melbourne - Perth,269.9,385.2604839
2011,5,201105,Melbourne,Sydney,Melbourne - Sydney,59.9,85.50241935
2011,5,201105,Melbourne,Newcastle,Melbourne - Newcastle,128.0,182.7096774
2011,6,201106,Melbourne,Gold Coast,Melbourne - Gold Coast,149.9,213.9701613
2011,6,201106,Melbourne,Mildura,Melbourne - Mildura,198.0,282.6290323
2011,6,201106,Melbourne,Perth,Melbourne - Perth,449.9,642.1959677
2011,6,201106,Melbourne,Sydney,Melbourne - Sydney,89.9,128.325
2011,6,201106,Melbourne,Newcastle,Melbourne - Newcastle,140.0,199.8387097
2011,7,201107,Melbourne,Gold Coast,Melbourne - Gold Coast,186.0,263.9038076
2011,7,201107,Melbourne,Mildura,Melbourne - Mildura,178.0,252.5531062
2011,7,201107,Melbourne,Perth,Melbourne - Perth,398.0,564.6973948
2011,7,201107,Melbourne,Sydney,Melbourne - Sydney,148.0,209.987976
2011,7,201107,Melbourne,Newcastle,Melbourne - Newcastle,138.0,195.7995992
2011,8,201108,Melbourne,Gold Coast,Melbourne - Gold Coast,188.0,266.741483
2011,8,201108,Melbourne,Mildura,Melbourne - Mildura,198.0,280.9298597
2011,8,201108,Melbourne,Perth,Melbourne - Perth,398.0,564.6973948
2011,8,201108,Melbourne,Sydney,Melbourne - Sydney,148.0,209.987976
2011,8,201108,Melbourne,Newcastle,Melbourne - Newcastle,128.0,181.6112224
2011,9,201109,Melbourne,Gold Coast,Melbourne - Gold Coast,159.95,226.9430862
2011,9,201109,Melbourne,Mildura,Melbourne - Mildura,198.0,280.9298597
2011,9,201109,Melbourne,Perth,Melbourne - Perth,513.0,727.8637275
2011,9,201109,Melbourne,Sydney,Melbourne - Sydney,99.9,141.7418838
2011,9,201109,Melbourne,Newcastle,Melbourne - Newcastle,188.0,266.741483
2011,10,201110,Melbourne,Gold Coast,Melbourne - Gold Coast,139.95,198.5663327
2011,10,201110,Melbourne,Mildura,Melbourne - Mildura,198.0,280.9298597
2011,10,201110,Melbourne,Perth,Melbourne - Perth,309.9,439.6977956
2011,10,201110,Melbourne,Sydney,Melbourne - Sydney,99.9,141.7418838
2011,10,201110,Melbourne,Newcastle,Melbourne - Newcastle,178.0,252.5531062
2011,11,201111,Melbourne,Gold Coast,Melbourne - Gold Coast,179.9,255.2488978
2011,11,201111,Melbourne,Mildura,Melbourne - Mildura,184.0,261.0661323
2011,11,201111,Melbourne,Perth,Melbourne - Perth,309.9,439.6977956
2011,11,201111,Melbourne,Sydney,Melbourne - Sydney,99.9,141.7418838
2011,11,201111,Melbourne,Newcastle,Melbourne - Newcastle,180.0,255.3907816
2011,12,201112,Melbourne,Gold Coast,Melbourne - Gold Coast,259.9,368.7559118
2011,12,201112,Melbourne,Mildura,Melbourne - Mildura,225.1,319.3803607
2011,12,201112,Melbourne,Perth,Melbourne - Perth,459.9,652.5234469
2011,12,201112,Melbourne,Sydney,Melbourne - Sydney,249.9,354.5675351
2011,12,201112,Melbourne,Newcastle,Melbourne - Newcastle,168.0,238.3647295
2012,1,201201,Melbourne,Gold Coast,Melbourne - Gold Coast,158.0,223.951952
2012,1,201201,Melbourne,Mildura,Melbourne - Mildura,168.0,238.1261261
2012,1,201201,Melbourne,Perth,Melbourne - Perth,259.9,368.3867868
2012,1,201201,Melbourne,Sydney,Melbourne - Sydney,99.9,141.6
2012,1,201201,Melbourne,Newcastle,Melbourne - Newcastle,104.0,147.4114114
2012,2,201202,Melbourne,Gold Coast,Melbourne - Gold Coast,129.9,184.1225225
2012,2,201202,Melbourne,Mildura,Melbourne - Mildura,198.0,280.6486486
2012,2,201202,Melbourne,Perth,Melbourne - Perth,249.9,354.2126126
2012,2,201202,Melbourne,Sydney,Melbourne - Sydney,99.9,141.6
2012,2,201202,Melbourne,Newcastle,Melbourne - Newcastle,168.0,238.1261261
2012,3,201203,Melbourne,Gold Coast,Melbourne - Gold Coast,198.0,280.6486486
2012,3,201203,Melbourne,Mildura,Melbourne - Mildura,218.0,308.996997
2012,3,201203,Melbourne,Perth,Melbourne - Perth,349.9,495.9543544
2012,3,201203,Melbourne,Sydney,Melbourne - Sydney,99.9,141.6
2012,3,201203,Melbourne,Newcastle,Melbourne - Newcastle,148.0,209.7777778
2012,4,201204,Melbourne,Gold Coast,Melbourne - Gold Coast,118.0,166.4223108
2012,4,201204,Melbourne,Mildura,Melbourne - Mildura,225.1,317.4717131
2012,4,201204,Melbourne,Perth,Melbourne - Perth,329.9,465.2772908
2012,4,201204,Melbourne,Sydney,Melbourne - Sydney,99.9,140.8948207
2012,4,201204,Melbourne,Newcastle,Melbourne - Newcastle,118.0,166.4223108
2012,5,201205,Melbourne,Gold Coast,Melbourne - Gold Coast,89.9,126.7912351
2012,5,201205,Melbourne,Mildura,Melbourne - Mildura,207.0,291.9442231
2012,5,201205,Melbourne,Perth,Melbourne - Perth,219.9,310.1378486
2012,5,201205,Melbourne,Sydney,Melbourne - Sydney,79.9,112.6876494
2012,5,201205,Melbourne,Newcastle,Melbourne - Newcastle,98.0,138.2151394
2012,6,201206,Melbourne,Gold Coast,Melbourne - Gold Coast,219.9,310.1378486
2012,6,201206,Melbourne,Mildura,Melbourne - Mildura,227.71,321.152749
2012,6,201206,Melbourne,Perth,Melbourne - Perth,389.9,549.8988048
2012,6,201206,Melbourne,Sydney,Melbourne - Sydney,109.9,154.9984064
2012,6,201206,Melbourne,Newcastle,Melbourne - Newcastle,128.0,180.5258964
2012,7,201207,Melbourne,Gold Coast,Melbourne - Gold Coast,158.0,219.7721022
2012,7,201207,Melbourne,Mildura,Melbourne - Mildura,208.0,289.3202358
2012,7,201207,Melbourne,Perth,Melbourne - Perth,199.9,278.0534381
2012,7,201207,Melbourne,Sydney,Melbourne - Sydney,89.9,125.0475442
2012,7,201207,Melbourne,Newcastle,Melbourne - Newcastle,98.0,136.3143418
2012,8,201208,Melbourne,Gold Coast,Melbourne - Gold Coast,139.9,194.5956778
2012,8,201208,Melbourne,Mildura,Melbourne - Mildura,198.0,275.410609
2012,8,201208,Melbourne,Perth,Melbourne - Perth,245.9,342.037721
2012,8,201208,Melbourne,Sydney,Melbourne - Sydney,90.0,125.1866405
2012,8,201208,Melbourne,Newcastle,Melbourne - Newcastle,138.0,191.9528487
2012,9,201209,Melbourne,Gold Coast,Melbourne - Gold Coast,174.9,243.2793713
2012,9,201209,Melbourne,Mildura,Melbourne - Mildura,253.0,351.913556
2012,9,201209,Melbourne,Perth,Melbourne - Perth,250.9,348.9925344
